Country,League,Club,Player Names,Matches_Played,Substitution ,Mins,Goals,xG,xG Per Avg Match,Shots,OnTarget,Shots Per Avg Match,On Target Per Avg Match,Year
Spain,La Liga,(BET),Juanmi Callejon,19,16,1849,11,6.62,0.34,48,20,2.47,1.03,2016
Spain,La Liga,(BAR),Antoine Griezmann,36,0,3129,16,11.86,0.36,88,41,2.67,1.24,2016
Spain,La Liga,(ATL),Luis Suarez,34,1,2940,28,23.21,0.75,120,57,3.88,1.84,2016
Spain,La Liga,(CAR),Ruben Castro,32,3,2842,13,14.06,0.47,117,42,3.91,1.4,2016
Spain,La Liga,(VAL),Kevin Gameiro,21,10,1745,13,10.65,0.58,50,23,2.72,1.25,2016
Spain,La Liga,(JUV),Cristiano Ronaldo,29,0,2634,25,24.68,0.89,162,60,5.84,2.16,2016
Spain,La Liga,(RMA),Karim Benzema,23,6,1967,11,13.25,0.64,69,34,3.33,1.64,2016
Spain,La Liga,(PSG),Neymar ,30,0,2694,13,13.33,0.47,105,42,3.7,1.48,2016
Spain,La Liga,(CEL),Iago Aspas,25,7,2354,19,13.88,0.56,78,37,3.15,1.49,2016
Spain,La Liga,(EIB),Sergi Enrich,31,7,2904,11,8.25,0.27,64,26,2.09,0.85,2016
Spain,La Liga,None,Aduriz ,27,5,2480,16,15.92,0.61,85,45,3.26,1.72,2016
Spain,La Liga,(HUE),Sandro Ramlrez,28,2,2340,14,7.14,0.29,93,38,3.78,1.54,2016
Spain,La Liga,(BAR),Lionel Messi,32,2,2910,37,26.65,0.87,179,76,5.84,2.48,2016
Spain,La Liga,(VIL),Gerard Moreno,37,0,3361,13,8.49,0.24,82,32,2.32,0.9,2016
Spain,La Liga,(JUV),Morata,14,12,1392,15,9.67,0.66,55,30,3.75,2.05,2016
Spain,La Liga,(MON),Wissam Ben Yedder,20,11,1735,11,7.85,0.43,44,23,2.41,1.26,2016
Spain,La Liga,(SOC),Willian Jose,27,1,2102,12,8.41,0.38,69,29,3.12,1.31,2016
Spain,La Liga,Florin,Andone ,32,5,2984,12,11.62,0.37,99,42,3.15,1.34,2016
Spain,La Liga,(SOC),Cedric Bakambu,17,9,1633,10,8.08,0.47,50,26,2.91,1.51,2016
Spain,La Liga,(RMA),Isco,18,12,1690,10,3.91,0.22,32,15,1.8,0.84,2016
Italy,Serie A,(LIV),Mohamed Salah,29,2,2567,15,11.62,0.43,80,50,2.96,1.85,2016
Italy,Serie A,(SAS),Gregoire Defrel,23,6,2054,12,8,0.37,43,28,1.99,1.3,2016
Italy,Serie A,(LAZ),Ciro Immobile,35,1,3294,22,19.76,0.57,136,98,3.92,2.83,2016
Italy,Serie A,(VER),Nikola Kalinic,26,6,2648,15,15.05,0.54,90,61,3.23,2.19,2016
Italy,Serie A,(NAP),Dries Mertens,28,7,2671,28,21.65,0.77,148,102,5.26,3.63,2016
Italy,Serie A,(ATA),Alejandro Gomez,37,0,3247,16,11.62,0.34,117,75,3.42,2.19,2016
Italy,Serie A,(FIO),Jose CallejOn,37,0,3276,14,11.38,0.33,86,57,2.49,1.65,2016
Italy,Serie A,(BEN),Iago Falque,31,4,2633,12,8.04,0.29,65,42,2.35,1.52,2016
Italy,Serie A,(CAG),Giovanni Simeone,29,6,2764,12,12.22,0.42,76,35,2.61,1.2,2016
Italy,Serie A,(PSG),Mauro Icardi,34,0,3188,24,19.13,0.57,109,52,3.25,1.55,2016
Italy,Serie A,(CRZ),Diego Falcinelli,35,1,3308,13,11.49,0.33,99,65,2.84,1.87,2016
Italy,Serie A,Cyril,Cyril Thereau,31,2,2585,12,9.25,0.34,70,48,2.57,1.76,2016
Italy,Serie A,(ROM),Edin Dzeko,33,4,3194,29,30.6,0.91,178,99,5.29,2.94,2016
Italy,Serie A,(NAP),Lorenzo Insigne,35,2,3031,18,13.08,0.41,147,81,4.61,2.54,2016
Italy,Serie A,(SAM),Fabio Quagliarella,35,2,3030,12,13.71,0.43,112,70,3.51,2.19,2016
Italy,Serie A,Marco,Borriello ,30,6,2737,16,7.78,0.27,81,51,2.81,1.77,2016
Italy,Serie A,(VIL),Carlos Bacca,26,6,2228,13,14.07,0.6,56,39,2.39,1.66,2016
Italy,Serie A,(IMI),Gonzalo Higuain,32,6,3138,24,17.84,0.54,134,91,4.06,2.75,2016
Italy,Serie A,(SAM),Keita Balde,21,10,2033,16,7.7,0.36,70,48,3.27,2.24,2016
Italy,Serie A,(TOR),Andrea Belotti,34,1,3241,26,19.45,0.57,130,78,3.81,2.29,2016
